                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5914,                 2.5045,                0.95608,                0.62207,                0.60517,                0.56819,                0.32297,                 1.3653,                0.94446,                0.94176,              0.0004153,              0.0004153,              0.0004153
                      2,                 1.4546,                 1.2726,                0.93978,                0.83624,                 0.6931,                0.76993,                0.48008,                 1.2746,                0.81279,                0.93625,             0.00082373,             0.00082373,             0.00082373
                      3,                 1.4009,                0.98017,                0.93078,                0.71521,                0.75709,                0.79499,                0.48107,                 1.3171,                0.81861,                0.93955,              0.0012239,              0.0012239,              0.0012239
                      4,                 1.4128,                0.88704,                0.93314,                 0.7011,                0.73032,                0.80042,                0.47618,                 1.2753,                0.76258,                0.93027,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3749,                 0.8167,                0.92423,                0.85914,                0.79824,                0.88419,                0.53015,                 1.2357,                0.72161,                0.92353,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3598,                0.78699,                0.92218,                0.85528,                0.84557,                0.89901,                0.55858,                 1.2147,                0.67157,                0.91821,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3285,                0.75719,                0.91825,                0.88814,                0.79947,                0.90169,                0.55578,                 1.2067,                0.68332,                0.91263,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3214,                0.73495,                0.91332,                0.89093,                0.79227,                0.87802,                0.56464,                 1.2219,                0.65691,                0.92207,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3012,                0.71653,                0.91063,                0.86218,                0.82561,                0.88624,                0.54479,                 1.2047,                0.66044,                0.91046,               0.001151,               0.001151,               0.001151
                     10,                 1.3032,                 0.7117,                0.91177,                 0.8808,                 0.8357,                 0.8934,                0.55797,                 1.2334,                0.65351,                0.92506,              0.0011386,              0.0011386,              0.0011386
